Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
3/2/2020,Albany,0,0,0,0
3/3/2020,Albany,0,0,0,0
3/4/2020,Albany,0,0,0,0
3/5/2020,Albany,0,0,3,3
3/6/2020,Albany,0,0,0,3
3/7/2020,Albany,0,0,5,8
3/8/2020,Albany,0,0,2,10
3/9/2020,Albany,0,0,3,13
3/10/2020,Albany,0,0,2,15
3/11/2020,Albany,0,0,13,28
3/12/2020,Albany,1,1,11,39
3/13/2020,Albany,2,3,26,65
3/14/2020,Albany,3,6,108,173
3/15/2020,Albany,6,12,108,281
3/16/2020,Albany,11,23,140,421
3/17/2020,Albany,13,36,267,688
3/18/2020,Albany,7,43,331,1019
3/19/2020,Albany,18,61,450,1469
3/20/2020,Albany,27,88,499,1968
3/21/2020,Albany,35,123,577,2545
3/22/2020,Albany,4,127,197,2742
3/23/2020,Albany,19,146,144,2886
3/24/2020,Albany,6,152,198,3084
3/25/2020,Albany,19,171,93,3177
3/26/2020,Albany,16,187,112,3289
3/27/2020,Albany,8,195,101,3390
3/28/2020,Albany,10,205,73,3463
3/29/2020,Albany,12,217,61,3524
3/30/2020,Albany,9,226,72,3596
3/31/2020,Albany,14,240,108,3704
4/1/2020,Albany,13,253,106,3810
4/2/2020,Albany,14,267,105,3915
4/3/2020,Albany,26,293,123,4038
4/4/2020,Albany,12,305,117,4155
4/5/2020,Albany,14,319,89,4244
4/6/2020,Albany,14,333,86,4330
4/7/2020,Albany,9,342,74,4404
4/8/2020,Albany,37,379,229,4633
4/9/2020,Albany,47,426,332,4965
4/10/2020,Albany,20,446,159,5124
4/11/2020,Albany,32,478,223,5347
4/12/2020,Albany,21,499,193,5540
4/13/2020,Albany,36,535,216,5756
4/14/2020,Albany,13,548,106,5862
4/15/2020,Albany,33,581,301,6163
4/16/2020,Albany,38,619,273,6436
4/17/2020,Albany,29,648,291,6727
4/18/2020,Albany,34,682,305,7032
4/19/2020,Albany,5,687,103,7135
4/20/2020,Albany,17,704,164,7299
4/21/2020,Albany,33,737,236,7535
4/22/2020,Albany,21,758,178,7713
4/23/2020,Albany,47,805,319,8032
4/24/2020,Albany,94,899,626,8658
4/25/2020,Albany,49,948,402,9060
4/26/2020,Albany,31,979,263,9323
4/27/2020,Albany,30,1009,197,9520
4/28/2020,Albany,58,1067,351,9871
4/29/2020,Albany,98,1165,439,10310
4/30/2020,Albany,39,1204,378,10688
5/1/2020,Albany,34,1238,434,11122
5/2/2020,Albany,20,1258,441,11563
5/3/2020,Albany,29,1287,391,11954
5/4/2020,Albany,7,1294,130,12084
5/5/2020,Albany,27,1321,367,12451
5/6/2020,Albany,27,1348,407,12858
5/7/2020,Albany,36,1384,385,13243
5/8/2020,Albany,32,1416,488,13731
5/9/2020,Albany,16,1432,455,14186
5/10/2020,Albany,24,1456,384,14570
5/11/2020,Albany,23,1479,341,14911
5/12/2020,Albany,15,1494,335,15246
5/13/2020,Albany,15,1509,546,15792
5/14/2020,Albany,29,1538,541,16333
5/15/2020,Albany,34,1572,482,16815
5/16/2020,Albany,7,1579,411,17226
5/17/2020,Albany,31,1610,342,17568
5/18/2020,Albany,45,1655,398,17966
5/19/2020,Albany,27,1682,697,18663
5/20/2020,Albany,18,1700,650,19313
5/21/2020,Albany,56,1756,920,20233
5/22/2020,Albany,14,1770,655,20888
5/23/2020,Albany,12,1782,438,21326
5/24/2020,Albany,9,1791,378,21704
5/25/2020,Albany,2,1793,328,22032
5/26/2020,Albany,3,1796,369,22401
5/27/2020,Albany,18,1814,666,23067
5/28/2020,Albany,20,1834,416,23483
5/29/2020,Albany,9,1843,521,24004
5/30/2020,Albany,17,1860,760,24764
5/31/2020,Albany,22,1882,537,25301
6/1/2020,Albany,18,1900,618,25919
6/2/2020,Albany,20,1920,1170,27089
6/3/2020,Albany,10,1930,817,27906
6/4/2020,Albany,11,1941,1179,29085
6/5/2020,Albany,12,1953,1164,30249
6/6/2020,Albany,8,1961,751,31000
6/7/2020,Albany,17,1978,1194,32194
6/8/2020,Albany,5,1983,616,32810
6/9/2020,Albany,3,1986,569,33379
6/10/2020,Albany,10,1996,774,34153
6/11/2020,Albany,11,2007,1103,35256
6/12/2020,Albany,9,2016,739,35995
6/13/2020,Albany,4,2020,874,36869
6/14/2020,Albany,2,2022,496,37365
6/15/2020,Albany,4,2026,577,37942
6/16/2020,Albany,3,2029,592,38534
6/17/2020,Albany,5,2034,843,39377
6/18/2020,Albany,15,2049,1070,40447
6/19/2020,Albany,4,2053,610,41057
6/20/2020,Albany,1,2054,784,41841
6/21/2020,Albany,6,2060,931,42772
6/22/2020,Albany,2,2062,427,43199
6/23/2020,Albany,3,2065,586,43785
6/24/2020,Albany,11,2076,1325,45110
6/25/2020,Albany,8,2084,630,45740
6/26/2020,Albany,7,2091,799,46539
6/27/2020,Albany,6,2097,762,47301
6/28/2020,Albany,2,2099,514,47815
6/29/2020,Albany,3,2102,543,48358
6/30/2020,Albany,10,2112,731,49089
7/1/2020,Albany,13,2125,928,50017
7/2/2020,Albany,5,2130,805,50822
7/3/2020,Albany,15,2145,970,51792
7/4/2020,Albany,7,2152,1098,52890
7/5/2020,Albany,8,2160,626,53516
7/6/2020,Albany,4,2164,421,53937
7/7/2020,Albany,11,2175,1020,54957
7/8/2020,Albany,8,2183,1260,56217
7/9/2020,Albany,7,2190,625,56842
7/10/2020,Albany,18,2208,1252,58094
7/11/2020,Albany,11,2219,815,58909
7/12/2020,Albany,6,2225,594,59503
7/13/2020,Albany,22,2247,1139,60642
7/14/2020,Albany,33,2280,860,61502
3/2/2020,Allegany,0,0,0,0
3/3/2020,Allegany,0,0,0,0
3/4/2020,Allegany,0,0,0,0
3/5/2020,Allegany,0,0,0,0
3/6/2020,Allegany,0,0,0,0
3/7/2020,Allegany,0,0,0,0
3/8/2020,Allegany,0,0,0,0
3/9/2020,Allegany,0,0,0,0
3/10/2020,Allegany,0,0,0,0
3/11/2020,Allegany,0,0,4,4
3/12/2020,Allegany,0,0,1,5
3/13/2020,Allegany,0,0,0,5
3/14/2020,Allegany,0,0,1,6
3/15/2020,Allegany,2,2,5,11
3/16/2020,Allegany,0,2,1,12
3/17/2020,Allegany,0,2,0,12
3/18/2020,Allegany,0,2,3,15
3/19/2020,Allegany,0,2,2,17
3/20/2020,Allegany,0,2,10,27
3/21/2020,Allegany,0,2,10,37
3/22/2020,Allegany,0,2,39,76
3/23/2020,Allegany,0,2,2,78
3/24/2020,Allegany,0,2,5,83
3/25/2020,Allegany,0,2,6,89
3/26/2020,Allegany,0,2,9,98
3/27/2020,Allegany,0,2,4,102
3/28/2020,Allegany,4,6,12,114
3/29/2020,Allegany,1,7,7,121
3/30/2020,Allegany,0,7,4,125
3/31/2020,Allegany,2,9,10,135
4/1/2020,Allegany,3,12,14,149
4/2/2020,Allegany,2,14,18,167
4/3/2020,Allegany,2,16,13,180
4/4/2020,Allegany,0,16,8,188
4/5/2020,Allegany,1,17,8,196
4/6/2020,Allegany,0,17,3,199
4/7/2020,Allegany,4,21,16,215
4/8/2020,Allegany,1,22,12,227
4/9/2020,Allegany,4,26,21,248
4/10/2020,Allegany,0,26,16,264
4/11/2020,Allegany,0,26,11,275
4/12/2020,Allegany,0,26,5,280
4/13/2020,Allegany,2,28,14,294
4/14/2020,Allegany,0,28,10,304
4/15/2020,Allegany,0,28,8,312
4/16/2020,Allegany,1,29,21,333
4/17/2020,Allegany,1,30,15,348
4/18/2020,Allegany,0,30,7,355
4/19/2020,Allegany,0,30,5,360
4/20/2020,Allegany,0,30,9,369
4/21/2020,Allegany,0,30,10,379
4/22/2020,Allegany,0,30,14,393
4/23/2020,Allegany,1,31,10,403
4/24/2020,Allegany,4,35,61,464
4/25/2020,Allegany,0,35,12,476
4/26/2020,Allegany,0,35,9,485
4/27/2020,Allegany,0,35,14,499
4/28/2020,Allegany,0,35,26,525
4/29/2020,Allegany,0,35,18,543
4/30/2020,Allegany,0,35,20,563
5/1/2020,Allegany,0,35,11,574
5/2/2020,Allegany,0,35,18,592
5/3/2020,Allegany,0,35,14,606
5/4/2020,Allegany,0,35,31,637
5/5/2020,Allegany,0,35,22,659
5/6/2020,Allegany,0,35,40,699
5/7/2020,Allegany,0,35,33,732
5/8/2020,Allegany,0,35,18,750
5/9/2020,Allegany,1,36,20,770
5/10/2020,Allegany,2,38,35,805
5/11/2020,Allegany,4,42,41,846
5/12/2020,Allegany,2,44,39,885
5/13/2020,Allegany,0,44,53,938
5/14/2020,Allegany,0,44,44,982
5/15/2020,Allegany,0,44,27,1009
5/16/2020,Allegany,0,44,36,1045
5/17/2020,Allegany,0,44,89,1134
5/18/2020,Allegany,0,44,28,1162
5/19/2020,Allegany,0,44,49,1211
5/20/2020,Allegany,0,44,68,1279
5/21/2020,Allegany,0,44,47,1326
5/22/2020,Allegany,0,44,26,1352
5/23/2020,Allegany,0,44,33,1385
5/24/2020,Allegany,0,44,53,1438
5/25/2020,Allegany,0,44,28,1466
5/26/2020,Allegany,1,45,96,1562
5/27/2020,Allegany,0,45,98,1660
5/28/2020,Allegany,0,45,60,1720
5/29/2020,Allegany,0,45,64,1784
5/30/2020,Allegany,0,45,51,1835
5/31/2020,Allegany,3,48,100,1935
6/1/2020,Allegany,0,48,160,2095
6/2/2020,Allegany,1,49,181,2276
6/3/2020,Allegany,0,49,131,2407
6/4/2020,Allegany,2,51,154,2561
6/5/2020,Allegany,0,51,309,2870
6/6/2020,Allegany,0,51,98,2968
6/7/2020,Allegany,0,51,149,3117
6/8/2020,Allegany,0,51,220,3337
6/9/2020,Allegany,1,52,128,3465
6/10/2020,Allegany,1,53,137,3602
6/11/2020,Allegany,0,53,163,3765
6/12/2020,Allegany,1,54,144,3909
6/13/2020,Allegany,0,54,103,4012
6/14/2020,Allegany,1,55,65,4077
6/15/2020,Allegany,0,55,120,4197
6/16/2020,Allegany,0,55,134,4331
6/17/2020,Allegany,2,57,77,4408
6/18/2020,Allegany,1,58,220,4628
6/19/2020,Allegany,0,58,166,4794
6/20/2020,Allegany,0,58,66,4860
6/21/2020,Allegany,0,58,114,4974
6/22/2020,Allegany,0,58,142,5116
6/23/2020,Allegany,0,58,104,5220
6/24/2020,Allegany,0,58,131,5351
6/25/2020,Allegany,0,58,109,5460
6/26/2020,Allegany,0,58,55,5515
6/27/2020,Allegany,1,59,74,5589
6/28/2020,Allegany,0,59,157,5746
6/29/2020,Allegany,0,59,194,5940
6/30/2020,Allegany,2,61,78,6018
7/1/2020,Allegany,1,62,48,6066
7/2/2020,Allegany,1,63,105,6171
7/3/2020,Allegany,0,63,75,6246
7/4/2020,Allegany,0,63,97,6343
7/5/2020,Allegany,0,63,93,6436
7/6/2020,Allegany,0,63,87,6523
7/7/2020,Allegany,1,64,205,6728
7/8/2020,Allegany,0,64,91,6819
7/9/2020,Allegany,0,64,78,6897
7/10/2020,Allegany,2,66,106,7003
7/11/2020,Allegany,0,66,107,7110
7/12/2020,Allegany,0,66,88,7198
7/13/2020,Allegany,2,68,243,7441
7/14/2020,Allegany,1,69,97,7538
3/2/2020,Bronx,0,0,0,0
3/3/2020,Bronx,0,0,1,1
3/4/2020,Bronx,0,0,0,1
3/5/2020,Bronx,0,0,5,6
3/6/2020,Bronx,0,0,6,12
3/7/2020,Bronx,0,0,17,29
3/8/2020,Bronx,1,1,16,45
3/9/2020,Bronx,4,5,31,76
3/10/2020,Bronx,0,5,47,123
3/11/2020,Bronx,2,7,31,154
3/12/2020,Bronx,3,10,36,190
3/13/2020,Bronx,10,20,99,289
3/14/2020,Bronx,8,28,80,369
3/15/2020,Bronx,29,57,116,485
3/16/2020,Bronx,29,86,151,636
3/17/2020,Bronx,123,209,433,1069
3/18/2020,Bronx,154,363,597,1666
3/19/2020,Bronx,191,554,605,2271
3/20/2020,Bronx,297,851,884,3155
3/21/2020,Bronx,367,1218,1044,4199
3/22/2020,Bronx,606,1824,1276,5475
3/23/2020,Bronx,455,2279,970,6445
3/24/2020,Bronx,611,2890,1188,7633
3/25/2020,Bronx,838,3728,1770,9403
3/26/2020,Bronx,829,4557,1428,10831
3/27/2020,Bronx,846,5403,1478,12309
3/28/2020,Bronx,901,6304,1529,13838
3/29/2020,Bronx,658,6962,1160,14998
3/30/2020,Bronx,804,7766,1341,16339
3/31/2020,Bronx,1095,8861,1818,18157
4/1/2020,Bronx,1066,9927,1754,19911
4/2/2020,Bronx,1159,11086,1946,21857
4/3/2020,Bronx,1229,12315,2108,23965
4/4/2020,Bronx,1053,13368,1778,25743
4/5/2020,Bronx,959,14327,1628,27371
4/6/2020,Bronx,1021,15348,1996,29367
4/7/2020,Bronx,1278,16626,2562,31929
4/8/2020,Bronx,1166,17792,2348,34277
4/9/2020,Bronx,1368,19160,2637,36914
4/10/2020,Bronx,1317,20477,2580,39494
4/11/2020,Bronx,964,21441,2081,41575
4/12/2020,Bronx,764,22205,1623,43198
4/13/2020,Bronx,1061,23266,2294,45492
4/14/2020,Bronx,1387,24653,2622,48114
4/15/2020,Bronx,1279,25932,2939,51053
4/16/2020,Bronx,1103,27035,2793,53846
4/17/2020,Bronx,984,28019,2597,56443
4/18/2020,Bronx,804,28823,2162,58605
4/19/2020,Bronx,549,29372,1707,60312
4/20/2020,Bronx,617,29989,2050,62362
4/21/2020,Bronx,879,30868,2942,65304
4/22/2020,Bronx,791,31659,3084,68388
4/23/2020,Bronx,1042,32701,3691,72079
4/24/2020,Bronx,1482,34183,4800,76879
4/25/2020,Bronx,787,34970,2967,79846
4/26/2020,Bronx,586,35556,2363,82209
4/27/2020,Bronx,438,35994,2107,84316
4/28/2020,Bronx,606,36600,2938,87254
4/29/2020,Bronx,644,37244,2977,90231
4/30/2020,Bronx,541,37785,2824,93055
5/1/2020,Bronx,665,38450,3694,96749
5/2/2020,Bronx,466,38916,2857,99606
5/3/2020,Bronx,307,39223,1869,101475
5/4/2020,Bronx,253,39476,2001,103476
5/5/2020,Bronx,363,39839,2657,106133
5/6/2020,Bronx,342,40181,2786,108919
5/7/2020,Bronx,352,40533,3078,111997
5/8/2020,Bronx,271,40804,2873,114870
5/9/2020,Bronx,255,41059,2935,117805
5/10/2020,Bronx,237,41296,2140,119945
5/11/2020,Bronx,145,41441,1510,121455
5/12/2020,Bronx,236,41677,2678,124133
5/13/2020,Bronx,303,41980,3338,127471
5/14/2020,Bronx,539,42519,4408,131879
5/15/2020,Bronx,293,42812,3632,135511
5/16/2020,Bronx,210,43022,2861,138372
5/17/2020,Bronx,136,43158,2126,140498
5/18/2020,Bronx,112,43270,2102,142600
5/19/2020,Bronx,148,43418,2682,145282
5/20/2020,Bronx,185,43603,3618,148900
5/21/2020,Bronx,163,43766,3421,152321
5/22/2020,Bronx,155,43921,3518,155839
5/23/2020,Bronx,216,44137,4575,160414
5/24/2020,Bronx,110,44247,2445,162859
5/25/2020,Bronx,117,44364,2233,165092
5/26/2020,Bronx,139,44503,3064,168156
5/27/2020,Bronx,250,44753,5657,173813
5/28/2020,Bronx,221,44974,5781,179594
5/29/2020,Bronx,142,45116,4817,184411
5/30/2020,Bronx,137,45253,4338,188749
5/31/2020,Bronx,106,45359,3997,192746
6/1/2020,Bronx,107,45466,4069,196815
6/2/2020,Bronx,105,45571,3579,200394
6/3/2020,Bronx,117,45688,4303,204697
6/4/2020,Bronx,90,45778,4606,209303
6/5/2020,Bronx,104,45882,5144,214447
6/6/2020,Bronx,98,45980,4164,218611
6/7/2020,Bronx,72,46052,3718,222329
6/8/2020,Bronx,75,46127,3214,225543
6/9/2020,Bronx,96,46223,4468,230011
6/10/2020,Bronx,93,46316,3929,233940
6/11/2020,Bronx,80,46396,4894,238834
6/12/2020,Bronx,105,46501,5869,244703
6/13/2020,Bronx,66,46567,4578,249281
6/14/2020,Bronx,78,46645,4689,253970
6/15/2020,Bronx,65,46710,4542,258512
6/16/2020,Bronx,68,46778,5106,263618
6/17/2020,Bronx,52,46830,5556,269174
6/18/2020,Bronx,85,46915,6272,275446
6/19/2020,Bronx,64,46979,5007,280453
6/20/2020,Bronx,48,47027,4694,285147
6/21/2020,Bronx,65,47092,4917,290064
6/22/2020,Bronx,62,47154,3723,293787
6/23/2020,Bronx,76,47230,3549,297336
6/24/2020,Bronx,64,47294,4930,302266
6/25/2020,Bronx,89,47383,4377,306643
6/26/2020,Bronx,73,47456,5794,312437
6/27/2020,Bronx,58,47514,5208,317645
6/28/2020,Bronx,41,47555,3588,321233
6/29/2020,Bronx,43,47598,4056,325289
6/30/2020,Bronx,53,47651,4725,330014
7/1/2020,Bronx,107,47758,5267,335281
7/2/2020,Bronx,80,47838,5521,340802
7/3/2020,Bronx,64,47902,4449,345251
7/4/2020,Bronx,36,47938,4275,349526
7/5/2020,Bronx,56,47994,4111,353637
7/6/2020,Bronx,44,48038,3695,357332
7/7/2020,Bronx,38,48076,3456,360788
7/8/2020,Bronx,50,48126,3993,364781
7/9/2020,Bronx,82,48208,5706,370487
7/10/2020,Bronx,59,48267,4932,375419
7/11/2020,Bronx,60,48327,4401,379820
7/12/2020,Bronx,50,48377,3980,383800
7/13/2020,Bronx,56,48433,4169,387969
7/14/2020,Bronx,63,48496,4435,392404
3/2/2020,Broome,0,0,0,0
3/3/2020,Broome,0,0,0,0
3/4/2020,Broome,0,0,0,0
3/5/2020,Broome,0,0,0,0
3/6/2020,Broome,0,0,0,0
3/7/2020,Broome,0,0,0,0
3/8/2020,Broome,0,0,2,2
3/9/2020,Broome,0,0,1,3
3/10/2020,Broome,0,0,1,4
3/11/2020,Broome,0,0,1,5
3/12/2020,Broome,1,1,2,7
3/13/2020,Broome,0,1,2,9
3/14/2020,Broome,0,1,3,12
3/15/2020,Broome,0,1,2,14
3/16/2020,Broome,0,1,1,15
3/17/2020,Broome,0,1,6,21
3/18/2020,Broome,1,2,9,30
3/19/2020,Broome,0,2,3,33
3/20/2020,Broome,0,2,16,49
3/21/2020,Broome,1,3,5,54
3/22/2020,Broome,4,7,20,74
3/23/2020,Broome,2,9,18,92
3/24/2020,Broome,2,11,13,105
3/25/2020,Broome,5,16,37,142
3/26/2020,Broome,2,18,25,167
3/27/2020,Broome,5,23,37,204
3/28/2020,Broome,6,29,45,249
3/29/2020,Broome,6,35,36,285
3/30/2020,Broome,3,38,48,333
3/31/2020,Broome,4,42,35,368
4/1/2020,Broome,4,46,43,411
4/2/2020,Broome,10,56,72,483
4/3/2020,Broome,9,65,55,538
4/4/2020,Broome,6,71,36,574
4/5/2020,Broome,5,76,33,607
4/6/2020,Broome,10,86,47,654
4/7/2020,Broome,2,88,24,678
4/8/2020,Broome,17,105,82,760
4/9/2020,Broome,7,112,58,818
4/10/2020,Broome,5,117,31,849
4/11/2020,Broome,9,126,60,909
4/12/2020,Broome,7,133,39,948
4/13/2020,Broome,13,146,90,1038
4/14/2020,Broome,7,153,73,1111
4/15/2020,Broome,14,167,74,1185
4/16/2020,Broome,11,178,82,1267
4/17/2020,Broome,8,186,64,1331
4/18/2020,Broome,6,192,52,1383
4/19/2020,Broome,7,199,43,1426
4/20/2020,Broome,6,205,47,1473
4/21/2020,Broome,14,219,54,1527
4/22/2020,Broome,5,224,102,1629
4/23/2020,Broome,8,232,85,1714
4/24/2020,Broome,19,251,212,1926
4/25/2020,Broome,6,257,105,2031
4/26/2020,Broome,4,261,69,2100
4/27/2020,Broome,5,266,60,2160
4/28/2020,Broome,7,273,87,2247
4/29/2020,Broome,11,284,114,2361
4/30/2020,Broome,15,299,110,2471
5/1/2020,Broome,6,305,114,2585
5/2/2020,Broome,22,327,415,3000
5/3/2020,Broome,7,334,353,3353
5/4/2020,Broome,4,338,180,3533
5/5/2020,Broome,7,345,273,3806
5/6/2020,Broome,15,360,333,4139
5/7/2020,Broome,4,364,214,4353
5/8/2020,Broome,8,372,252,4605
5/9/2020,Broome,1,373,317,4922
5/10/2020,Broome,5,378,319,5241
5/11/2020,Broome,1,379,271,5512
5/12/2020,Broome,3,382,291,5803
5/13/2020,Broome,1,383,343,6146
5/14/2020,Broome,7,390,343,6489
5/15/2020,Broome,23,413,458,6947
5/16/2020,Broome,1,414,486,7433
5/17/2020,Broome,9,423,379,7812
5/18/2020,Broome,6,429,295,8107
5/19/2020,Broome,7,436,639,8746
5/20/2020,Broome,15,451,419,9165
5/21/2020,Broome,17,468,820,9985
5/22/2020,Broome,17,485,645,10630
5/23/2020,Broome,16,501,629,11259
5/24/2020,Broome,18,519,669,11928
5/25/2020,Broome,3,522,536,12464
5/26/2020,Broome,6,528,369,12833
5/27/2020,Broome,17,545,523,13356
5/28/2020,Broome,12,557,614,13970
5/29/2020,Broome,4,561,531,14501
5/30/2020,Broome,5,566,1002,15503
5/31/2020,Broome,8,574,777,16280
6/1/2020,Broome,4,578,629,16909
6/2/2020,Broome,11,589,826,17735
6/3/2020,Broome,4,593,631,18366
6/4/2020,Broome,12,605,1417,19783
6/5/2020,Broome,8,613,1311,21094
6/6/2020,Broome,7,620,950,22044
6/7/2020,Broome,4,624,745,22789
6/8/2020,Broome,3,627,797,23586
6/9/2020,Broome,3,630,755,24341
6/10/2020,Broome,11,641,875,25216
6/11/2020,Broome,3,644,1085,26301
6/12/2020,Broome,3,647,779,27080
6/13/2020,Broome,4,651,795,27875
6/14/2020,Broome,4,655,382,28257
6/15/2020,Broome,1,656,606,28863
6/16/2020,Broome,1,657,546,29409
6/17/2020,Broome,0,657,442,29851
6/18/2020,Broome,6,663,952,30803
6/19/2020,Broome,2,665,586,31389
6/20/2020,Broome,3,668,430,31819
6/21/2020,Broome,2,670,552,32371
6/22/2020,Broome,1,671,588,32959
6/23/2020,Broome,0,671,179,33138
6/24/2020,Broome,9,680,935,34073
6/25/2020,Broome,17,697,509,34582
6/26/2020,Broome,4,701,922,35504
6/27/2020,Broome,2,703,486,35990
6/28/2020,Broome,7,710,377,36367
6/29/2020,Broome,6,716,772,37139
6/30/2020,Broome,6,722,448,37587
7/1/2020,Broome,7,729,846,38433
7/2/2020,Broome,7,736,476,38909
7/3/2020,Broome,16,752,979,39888
7/4/2020,Broome,1,753,898,40786
7/5/2020,Broome,4,757,554,41340
7/6/2020,Broome,5,762,588,41928
7/7/2020,Broome,4,766,234,42162
7/8/2020,Broome,4,770,731,42893
7/9/2020,Broome,14,784,662,43555
7/10/2020,Broome,23,807,747,44302
7/11/2020,Broome,13,820,1236,45538
7/12/2020,Broome,7,827,595,46133
7/13/2020,Broome,14,841,852,46985
7/14/2020,Broome,11,852,592,47577
3/2/2020,Cattaraugus,0,0,0,0
3/3/2020,Cattaraugus,0,0,0,0
3/4/2020,Cattaraugus,0,0,0,0
3/5/2020,Cattaraugus,0,0,0,0
3/6/2020,Cattaraugus,0,0,0,0
3/7/2020,Cattaraugus,0,0,0,0
3/8/2020,Cattaraugus,0,0,0,0
3/9/2020,Cattaraugus,0,0,0,0
3/10/2020,Cattaraugus,0,0,0,0
3/11/2020,Cattaraugus,0,0,0,0
3/12/2020,Cattaraugus,0,0,2,2
3/13/2020,Cattaraugus,0,0,2,4
3/14/2020,Cattaraugus,0,0,1,5
3/15/2020,Cattaraugus,0,0,2,7
3/16/2020,Cattaraugus,0,0,0,7
3/17/2020,Cattaraugus,0,0,0,7
3/18/2020,Cattaraugus,0,0,5,12
3/19/2020,Cattaraugus,0,0,2,14
3/20/2020,Cattaraugus,0,0,10,24
3/21/2020,Cattaraugus,0,0,23,47
3/22/2020,Cattaraugus,0,0,14,61
3/23/2020,Cattaraugus,0,0,12,73
3/24/2020,Cattaraugus,0,0,3,76
3/25/2020,Cattaraugus,0,0,12,88
3/26/2020,Cattaraugus,0,0,13,101
3/27/2020,Cattaraugus,1,1,25,126
3/28/2020,Cattaraugus,3,4,13,139
3/29/2020,Cattaraugus,2,6,7,146
3/30/2020,Cattaraugus,0,6,5,151
3/31/2020,Cattaraugus,1,7,12,163
4/1/2020,Cattaraugus,1,8,28,191
4/2/2020,Cattaraugus,1,9,24,215
4/3/2020,Cattaraugus,0,9,8,223
4/4/2020,Cattaraugus,1,10,12,235
4/5/2020,Cattaraugus,2,12,16,251
4/6/2020,Cattaraugus,1,13,14,265
4/7/2020,Cattaraugus,2,15,19,284
4/8/2020,Cattaraugus,2,17,15,299
4/9/2020,Cattaraugus,1,18,26,325
4/10/2020,Cattaraugus,1,19,7,332
4/11/2020,Cattaraugus,9,28,32,364
4/12/2020,Cattaraugus,0,28,6,370
4/13/2020,Cattaraugus,4,32,13,383
4/14/2020,Cattaraugus,0,32,11,394
4/15/2020,Cattaraugus,0,32,14,408
4/16/2020,Cattaraugus,2,34,31,439
4/17/2020,Cattaraugus,0,34,15,454
4/18/2020,Cattaraugus,0,34,17,471
4/19/2020,Cattaraugus,0,34,1,472
4/20/2020,Cattaraugus,1,35,8,480
4/21/2020,Cattaraugus,2,37,34,514
4/22/2020,Cattaraugus,0,37,40,554
